Datetime,Open,High,Low,Close,Volume,DollarValue
2024-03-06 09:30:00-05:00,510.55,510.7813,510.35,510.49,1813340,925746316.8781
2024-03-06 09:31:00-05:00,510.47,510.77,510.45,510.66,385905,197029587.2672
2024-03-06 09:32:00-05:00,510.66,510.74,510.57,510.62,278665,142297495.4299
2024-03-06 09:33:00-05:00,510.62,510.8504,510.61,510.74,284348,145210834.5574
2024-03-06 09:34:00-05:00,510.74,510.7405,510.38,510.4,258004,131729100.2328
2024-03-06 09:35:00-05:00,510.4,510.51,510.17,510.31,370052,188857886.879
2024-03-06 09:36:00-05:00,510.29,510.4,510.02,510.02,334862,170831523.2012
2024-03-06 09:37:00-05:00,510.015,510.04,509.81,509.82,446986,227925988.5657
2024-03-06 09:38:00-05:00,509.83,509.98,509.71,509.76,218463,111371344.685
2024-03-06 09:39:00-05:00,509.76,509.95,509.71,509.93,182612,93103815.3629
2024-03-06 09:40:00-05:00,509.93,510.14,509.875,510.1187,186201,94967044.558
2024-03-06 09:41:00-05:00,510.11,510.19,510.0,510.02,149912,76464862.3585
2024-03-06 09:42:00-05:00,510.03,510.13,509.9289,510.06,162848,83059807.8618
2024-03-06 09:43:00-05:00,510.08,510.1801,509.99,510.08,126772,64663860.0577
2024-03-06 09:44:00-05:00,510.155,510.155,510.155,510.155,162345,82821113.2768
2024-03-06 09:45:00-05:00,510.15,510.36,510.15,510.19,204327,104241505.2159
2024-03-06 09:46:00-05:00,510.18,510.2301,509.91,510.0125,175943,89747864.9433
2024-03-06 09:47:00-05:00,509.9905,510.08,509.85,509.91,141693,72256381.6727
2024-03-06 09:48:00-05:00,509.9,510.02,509.8812,509.92,168818,86081986.9982
2024-03-06 09:49:00-05:00,509.93,510.065,509.9,510.01,122769,62608507.0799
2024-03-06 09:50:00-05:00,510.0,510.0,509.8,509.815,138292,70516128.1588
2024-03-06 09:51:00-05:00,509.8,509.97,509.735,509.885,159997,81573270.2772
2024-03-06 09:52:00-05:00,509.88,510.13,509.858,510.05,103049,52551382.9076
2024-03-06 09:53:00-05:00,510.05,510.1,509.8217,509.89,140466,71633446.1915
2024-03-06 09:54:00-05:00,509.89,510.03,509.89,509.99,92720,47281637.0264
2024-03-06 09:55:00-05:00,510.005,510.14,509.89,509.92,130298,66447095.0179
2024-03-06 09:56:00-05:00,509.9299,510.11,509.9299,510.03,106061,54088983.4718
2024-03-06 09:57:00-05:00,510.02,510.03,509.77,509.79,121078,61738277.4422
2024-03-06 09:58:00-05:00,509.78,509.82,509.65,509.725,135189,68912931.0526
2024-03-06 09:59:00-05:00,509.73,509.9531,509.63,509.91,127961,65237077.9572
2024-03-06 10:00:00-05:00,509.9,509.94,509.37,509.8338,285132,145379368.2416
2024-03-06 10:01:00-05:00,509.825,509.93,509.51,509.5499,126989,64724700.1244
2024-03-06 10:02:00-05:00,509.51,509.69,509.42,509.68,138499,70578398.0741
2024-03-06 10:03:00-05:00,509.67,509.725,509.28,509.3201,93032,47399344.064
2024-03-06 10:04:00-05:00,509.33,509.45,508.785,508.82,310468,158051496.1525
2024-03-06 10:05:00-05:00,508.84,509.15,508.8,508.88,160196,81517336.6578
2024-03-06 10:06:00-05:00,508.88,508.97,508.52,508.6799,205531,104570052.5206
2024-03-06 10:07:00-05:00,508.68,508.71,508.42,508.5184,142794,72624913.7918
2024-03-06 10:08:00-05:00,508.5199,509.1597,508.49,509.13,199131,101322821.3518
2024-03-06 10:09:00-05:00,509.135,509.135,508.78,508.85,122835,62522094.7121
2024-03-06 10:10:00-05:00,508.84,509.14,508.83,509.13,108130,55036548.116
2024-03-06 10:11:00-05:00,509.13,509.33,508.77,509.28,193827,98697677.8899
2024-03-06 10:12:00-05:00,509.28,509.29,508.9405,508.96,105547,53736088.1246
2024-03-06 10:13:00-05:00,508.97,509.028,508.85,508.855,94648,48167550.8777
2024-03-06 10:14:00-05:00,508.86,509.2,508.75,509.15,105407,53652688.9413
2024-03-06 10:15:00-05:00,509.14,509.465,509.11,509.41,154737,78803687.0917
2024-03-06 10:16:00-05:00,509.41,509.705,509.41,509.7,139478,71071713.3967
2024-03-06 10:17:00-05:00,509.7,509.76,509.53,509.62,108296,55194139.7566
2024-03-06 10:18:00-05:00,509.62,509.695,509.4,509.615,96229,49039981.7027
2024-03-06 10:19:00-05:00,509.615,509.65,509.4,509.4401,82384,41976917.0295
2024-03-06 10:20:00-05:00,509.44,509.63,509.435,509.63,106172,54098350.4088
2024-03-06 10:21:00-05:00,509.72,509.72,509.72,509.72,164462,83829570.8408
2024-03-06 10:22:00-05:00,509.72,509.8,509.56,509.6714,169027,86152334.0646
2024-03-06 10:23:00-05:00,509.68,509.77,509.58,509.67,82820,42211283.7527
2024-03-06 10:24:00-05:00,509.67,509.695,509.375,509.5,167448,85328990.2042
2024-03-06 10:25:00-05:00,509.5,509.515,509.3519,509.39,80884,41205949.9724
2024-03-06 10:26:00-05:00,509.39,509.47,509.09,509.38,133286,67893890.4116
2024-03-06 10:27:00-05:00,509.41,509.4101,509.07,509.17,96574,49184173.2852
2024-03-06 10:28:00-05:00,509.16,509.41,509.15,509.38,123353,62819982.837
2024-03-06 10:29:00-05:00,509.3901,509.5,509.35,509.36,79137,40310412.9976
2024-03-06 10:30:00-05:00,509.35,509.38,509.04,509.22,107564,54780732.1339
2024-03-06 10:31:00-05:00,509.2,509.39,509.16,509.305,102211,52051207.527
2024-03-06 10:32:00-05:00,509.3,509.49,509.165,509.4498,100681,51284373.6211
2024-03-06 10:33:00-05:00,509.4361,509.4361,509.39,509.39,7051,3591871.4538
2024-03-06 10:34:00-05:00,509.73,510.0,509.72,509.96,283701,144643536.6913
2024-03-06 10:35:00-05:00,509.9599,509.99,509.83,509.88,12383046,6314362226.7951
2024-03-06 10:36:00-05:00,509.88,509.97,509.6,509.615,93564,47694014.8616
2024-03-06 10:37:00-05:00,509.62,509.88,509.61,509.84,66211,33749732.7471
2024-03-06 10:38:00-05:00,509.84,509.845,509.66,509.66,141588,72174483.0
2024-03-06 10:39:00-05:00,509.66,509.79,509.63,509.7,45951,23420306.0446
2024-03-06 10:40:00-05:00,509.715,509.7499,509.59,509.6001,73866,37646364.3665
2024-03-06 10:41:00-05:00,509.6099,509.79,509.58,509.62,61048,31110973.1293
2024-03-06 10:42:00-05:00,509.63,509.79,509.43,509.78,116332,59295002.273
2024-03-06 10:43:00-05:00,509.61,509.83,509.6,509.61,130983,66750244.7113
2024-03-06 10:44:00-05:00,509.6,509.67,509.505,509.65,100504,51219351.0
2024-03-06 10:45:00-05:00,509.645,509.73,509.5821,509.72,62440,31824574.9951
2024-03-06 10:46:00-05:00,509.72,509.94,509.72,509.91,91479,46637366.6083
2024-03-06 10:47:00-05:00,509.9,509.94,509.84,509.85,84590,43130326.25
2024-03-06 10:48:00-05:00,509.83,509.86,509.72,509.8,78702,40123459.1212
2024-03-06 10:49:00-05:00,509.79,509.97,509.79,509.91,84333,42997180.5647
2024-03-06 10:50:00-05:00,509.92,510.1817,509.82,510.1501,173800,88644091.5924
2024-03-06 10:51:00-05:00,510.15,510.38,510.14,510.225,171651,87574194.5625
2024-03-06 10:52:00-05:00,510.23,510.3,510.16,510.25,98547,50282621.8213
2024-03-06 10:53:00-05:00,510.25,510.29,510.18,510.26,64036,32674689.4927
2024-03-06 10:54:00-05:00,510.26,510.35,510.24,510.2811,48264,24627697.9984
2024-03-06 10:55:00-05:00,510.29,510.405,510.29,510.3301,70112,35778858.8281
2024-03-06 10:56:00-05:00,510.33,510.48,510.33,510.395,101730,51919175.8832
2024-03-06 10:57:00-05:00,510.39,510.43,510.345,510.365,67734,34569909.7504
2024-03-06 10:58:00-05:00,510.36,510.56,510.32,510.5287,104195,53185747.583
2024-03-06 10:59:00-05:00,510.54,510.58,510.42,510.455,118823,60658844.1524
2024-03-06 11:00:00-05:00,510.47,510.68,510.47,510.62,205327,104828672.839
2024-03-06 11:01:00-05:00,510.62,510.9,510.59,510.85,170252,86953655.3239
2024-03-06 11:02:00-05:00,510.86,511.16,510.86,511.1251,179497,91721627.6745
2024-03-06 11:03:00-05:00,511.12,511.12,510.66,510.75,255801,130697683.3105
2024-03-06 11:04:00-05:00,510.76,510.77,510.68,510.68,31036,15850705.9579
2024-03-06 11:05:00-05:00,510.6,510.75,510.6,510.721,162976,83225406.8218
2024-03-06 11:06:00-05:00,510.74,510.775,510.62,510.64,87944,44912121.5747
2024-03-06 11:07:00-05:00,510.64,510.725,510.605,510.65,64312,32840601.5148
2024-03-06 11:08:00-05:00,510.64,510.89,510.63,510.8778,143642,73366431.5129
2024-03-06 11:09:00-05:00,510.87,510.91,510.81,510.8387,47597,24315134.7282
2024-03-06 11:10:00-05:00,510.84,511.09,510.84,511.0,124376,63546185.6923
2024-03-06 11:11:00-05:00,511.0,511.04,510.894,510.96,80780,41276964.0549
2024-03-06 11:12:00-05:00,510.9697,511.11,510.965,511.01,73081,37343649.4402
2024-03-06 11:13:00-05:00,511.0,511.05,510.915,511.05,58881,30089662.6656
2024-03-06 11:14:00-05:00,511.05,511.06,510.94,511.01,72251,36922428.4418
2024-03-06 11:15:00-05:00,511.01,511.2,510.97,511.15,100049,51133043.1032
2024-03-06 11:16:00-05:00,511.1313,511.1701,511.0101,511.07,112058,57272916.2985
2024-03-06 11:17:00-05:00,511.08,511.19,511.05,511.12,67880,34693467.3785
2024-03-06 11:18:00-05:00,511.13,511.18,511.1097,511.1489,51779,26466289.5853
2024-03-06 11:19:00-05:00,511.14,511.2,511.11,511.16,78265,40005155.4665
2024-03-06 11:20:00-05:00,511.17,511.21,511.105,511.11,141536,72344710.9536
2024-03-06 11:21:00-05:00,511.11,511.11,511.035,511.06,88324,45141070.7853
2024-03-06 11:22:00-05:00,511.07,511.1004,510.92,511.0,100832,51528681.4893
2024-03-06 11:23:00-05:00,510.99,511.02,510.92,511.005,107051,54702793.1111
2024-03-06 11:24:00-05:00,511.005,511.09,511.005,511.0575,75160,38409108.75
2024-03-06 11:25:00-05:00,511.05,511.12,510.955,511.035,66763,34118730.1423
2024-03-06 11:26:00-05:00,511.0399,511.175,510.99,511.14,90830,46422300.2095
2024-03-06 11:27:00-05:00,511.13,511.28,511.13,511.26,110741,56610246.3061
2024-03-06 11:28:00-05:00,511.26,511.35,511.25,511.29,97532,49865674.1929
2024-03-06 11:29:00-05:00,511.28,511.38,511.225,511.34,71975,36801537.0743
2024-03-06 11:30:00-05:00,511.35,511.4,511.215,511.305,124445,63632150.6615
2024-03-06 11:31:00-05:00,511.3096,511.34,511.09,511.1,117035,59828854.1737
2024-03-06 11:32:00-05:00,510.93,511.1,510.9199,510.93,254314,129936650.1573
2024-03-06 11:33:00-05:00,510.93,510.93,510.58,510.67,283947,145040128.4665
2024-03-06 11:34:00-05:00,510.68,510.77,510.51,510.75,194185,99173191.5639
2024-03-06 11:35:00-05:00,510.75,510.97,510.69,510.95,179472,91683272.2954
2024-03-06 11:36:00-05:00,510.94,511.145,510.92,511.109,167362,85526083.3088
2024-03-06 11:37:00-05:00,511.1,511.1614,511.04,511.13,64961,33202541.8718
2024-03-06 11:38:00-05:00,511.13,511.21,511.085,511.1399,71351,36469989.7269
2024-03-06 11:39:00-05:00,511.13,511.18,511.09,511.16,206988,105800882.1443
2024-03-06 11:40:00-05:00,511.16,511.19,511.0899,511.12,104799,53566960.796
2024-03-06 11:41:00-05:00,511.13,511.15,511.03,511.13,82884,42364499.3247
2024-03-06 11:42:00-05:00,511.3,511.31,511.11,511.3,87170,44570019.9359
2024-03-06 11:43:00-05:00,511.3,511.33,511.065,511.1088,80484,41143774.2438
2024-03-06 11:44:00-05:00,511.18,511.21,511.11,511.18,49675,25392866.1362
2024-03-06 11:45:00-05:00,511.18,511.2,511.05,511.11,82493,42165883.5787
2024-03-06 11:46:00-05:00,511.12,511.27,511.065,511.2165,71983,36795423.6653
2024-03-06 11:47:00-05:00,511.21,511.22,511.125,511.1599,63681,32552768.9144
2024-03-06 11:48:00-05:00,511.155,511.24,511.155,511.17,40218,20557933.6705
2024-03-06 11:49:00-05:00,511.18,511.24,511.15,511.21,31003,15848578.339
2024-03-06 11:50:00-05:00,511.22,511.62,511.22,511.53,258211,132042650.125
2024-03-06 11:51:00-05:00,511.52,511.59,511.36,511.455,137108,70129026.4763
2024-03-06 11:52:00-05:00,511.49,511.55,511.45,511.54,328710,168140095.4494
2024-03-06 11:53:00-05:00,511.53,511.57,511.5,511.562,163479,83627029.3921
2024-03-06 11:54:00-05:00,511.56,511.6,511.39,511.5,172752,88367830.3491
2024-03-06 11:55:00-05:00,511.51,511.64,511.3831,511.46,436419,223221772.4814
2024-03-06 11:56:00-05:00,511.46,511.56,511.44,511.47,83292,42600942.475
2024-03-06 11:57:00-05:00,511.47,511.49,511.31,511.43,96029,49114031.7569
2024-03-06 11:58:00-05:00,511.4191,511.47,511.35,511.38,57364,29335923.866
2024-03-06 11:59:00-05:00,511.38,511.45,511.18,511.2159,81527,41684588.6524
2024-03-06 12:00:00-05:00,511.22,511.41,511.22,511.32,132740,67865980.3671
2024-03-06 12:01:00-05:00,511.2999,511.45,511.28,511.45,101531,51920410.4773
2024-03-06 12:02:00-05:00,511.4599,511.48,511.2,511.25,151267,77351129.2143
2024-03-06 12:03:00-05:00,511.25,511.28,511.12,511.15,105124,53739388.4792
2024-03-06 12:04:00-05:00,511.15,511.39,511.15,511.38,66817,34161193.4642
2024-03-06 12:05:00-05:00,511.375,511.49,511.19,511.2,124240,63522359.7583
2024-03-06 12:06:00-05:00,511.23,511.275,511.11,511.23,80301,41052281.1122
2024-03-06 12:07:00-05:00,511.22,511.32,511.1988,511.29,96331,49249705.8754
2024-03-06 12:08:00-05:00,511.285,511.49,511.28,511.49,90745,46405858.4106
2024-03-06 12:09:00-05:00,511.4893,511.62,511.38,511.48,134465,68776783.4163
2024-03-06 12:10:00-05:00,511.47,511.8,511.47,511.71,234237,119833305.9722
2024-03-06 12:11:00-05:00,511.71,511.82,511.68,511.76,124374,63646528.9659
2024-03-06 12:12:00-05:00,511.77,511.92,511.77,511.835,131659,67383404.0618
2024-03-06 12:13:00-05:00,511.84,511.87,511.76,511.81,83560,42768096.745
2024-03-06 12:14:00-05:00,511.83,511.91,511.79,511.884,124189,63567008.306
2024-03-06 12:15:00-05:00,511.88,511.92,511.79,511.815,94147,48188906.9273
2024-03-06 12:16:00-05:00,511.82,511.91,511.7799,511.91,89031,45571853.3041
2024-03-06 12:17:00-05:00,511.91,511.915,511.8201,511.83,51427,26323938.2389
2024-03-06 12:18:00-05:00,511.82,511.84,511.72,511.74,89448,45777697.3308
2024-03-06 12:19:00-05:00,511.74,511.76,511.65,511.7288,71198,36434465.1176
2024-03-06 12:20:00-05:00,511.74,511.76,511.6586,511.705,67994,34794058.8765
2024-03-06 12:21:00-05:00,511.71,511.81,511.695,511.81,78109,39973061.4109
2024-03-06 12:22:00-05:00,511.81,511.83,511.71,511.76,106208,54355661.6689
2024-03-06 12:23:00-05:00,511.76,511.795,511.67,511.76,157025,80359115.5334
2024-03-06 12:24:00-05:00,511.75,511.78,511.73,511.75,40432,20691076.0
2024-03-06 12:25:00-05:00,511.75,511.848,511.75,511.82,107772,55156093.4147
2024-03-06 12:26:00-05:00,511.815,511.915,511.79,511.83,110407,56508786.151
2024-03-06 12:27:00-05:00,511.83,511.85,511.715,511.7399,72369,37037364.513
2024-03-06 12:28:00-05:00,511.7599,511.83,511.7131,511.7599,36735,18799499.4745
2024-03-06 12:29:00-05:00,511.75,511.785,511.6801,511.76,62322,31893595.4143
2024-03-06 12:30:00-05:00,511.77,511.89,511.73,511.88,43477,22252615.3923
2024-03-06 12:31:00-05:00,511.875,512.05,511.875,511.99,139277,71300422.1224
2024-03-06 12:32:00-05:00,511.995,512.069,511.965,512.0,67679,34651478.6373
2024-03-06 12:33:00-05:00,512.0,512.0,511.8024,511.8279,88633,45372469.6345
2024-03-06 12:34:00-05:00,511.82,511.85,511.72,511.77,81143,41528581.5364
2024-03-06 12:35:00-05:00,511.77,511.865,511.75,511.765,89212,45655802.3734
2024-03-06 12:36:00-05:00,511.78,511.82,511.7,511.79,153900,78763712.0636
2024-03-06 12:37:00-05:00,511.8,511.87,511.78,511.87,89484,45801042.3754
2024-03-06 12:38:00-05:00,511.88,511.89,511.72,511.76,123932,63430877.1477
2024-03-06 12:39:00-05:00,511.7577,511.794,511.68,511.73,59451,30423683.6684
2024-03-06 12:40:00-05:00,511.73,511.78,511.61,511.67,67431,34504443.5231
2024-03-06 12:41:00-05:00,511.68,511.7,511.545,511.58,93100,47632752.034
2024-03-06 12:42:00-05:00,511.58,511.59,511.48,511.5113,70429,36027647.8118
2024-03-06 12:43:00-05:00,511.52,511.63,511.5,511.63,69837,35726863.0619
